train_loss,train_acc,0.8763000119
2.7337125087,0.1313800044,
2.2855656075,0.2468399989,
2.0583050752,0.3104800003,
1.8175653255,0.4055799991,
1.6474934572,0.473379996,
1.5141539353,0.5309799971,
1.4249788243,0.5691199979,
1.3516759169,0.6008599928,
1.3222890198,0.6145999946,
1.2806900406,0.6340799931,
1.2654434687,0.6494599947,
1.2458060133,0.6594799951,
1.2689275604,0.6610799953,
1.2259125698,0.6791400009,
1.2047673368,0.6882800013,
1.2060933805,0.6888200063,
1.1928002194,0.6993200019,
1.1712218535,0.7094400033,
1.1763966548,0.7102400067,
1.1638641286,0.715280003,
1.2220123461,0.7003600073,
1.1697712627,0.719120006,
1.1698954237,0.716700002,
1.1578149161,0.723460007,
1.1539042601,0.7247600114,
1.165033479,0.724200002,
1.1623077658,0.7246200067,
1.1501522946,0.7297600064,
1.1518233204,0.7306600076,
1.1489089456,0.7334400085,
1.1436686388,0.7344200099,
1.1368892542,0.7381400058,
1.1470831928,0.7356800044,
1.1378468585,0.7394600087,
1.139988203,0.7408000046,
1.1367580661,0.7417000073,
1.1306603128,0.7429400057,
1.1303604576,0.743400006,
1.1261578637,0.7467600086,
1.1340126994,0.7441800097,
1.1318938389,0.7450000077,
1.1312369978,0.7473200122,
1.1336179167,0.7462200129,
1.129387058,0.7478400061,
1.1303280023,0.7477000076,
1.124876565,0.7484600103,
1.1304733858,0.7480200094,
1.1357030427,0.7448000142,
1.1322940004,0.7486600089,
1.1293636644,0.7498800123,
1.1860638362,0.7337000132,
1.1374322286,0.7484000048,
1.1374135071,0.7457400069,
1.1256979501,0.7514600125,
1.1261459419,0.7529000068,
1.1259696153,0.7516600111,
1.1295231301,0.7497400045,
1.1223442158,0.751980004,
1.1263917232,0.75050001,
1.1231023005,0.7543400103,
1.125140239,0.7510200089,
1.1267293745,0.7519600061,
1.1204923543,0.75376001,
1.1227455273,0.7514600071,
1.121519087,0.7550400111,
1.1128890634,0.7568000102,
1.1245426026,0.7534200123,
1.1258174416,0.7531600085,
1.1183820301,0.7544200093,
1.144585225,0.7468400055,
1.1167332006,0.7550400123,
1.1282859281,0.7508000147,
1.1253778741,0.7533200046,
1.1135520437,0.7569000009,
1.1225873855,0.7517800048,
1.119232772,0.7574200088,
1.1243823147,0.7525000107,
1.1121292281,0.7590600109,
1.1149936309,0.7574000081,
1.1167436245,0.7567600015,
1.1119437495,0.7581000045,
1.1143609434,0.7580200148,
1.1125850436,0.7584400067,
1.1122598764,0.7587000111,
1.1184904006,0.7591400117,
1.1159615895,0.757520012,
1.1112933424,0.7585800079,
1.1113070941,0.7583200109,
1.1143451807,0.7565800121,
1.1094502923,0.7598800093,
1.1158667371,0.75712001,
1.1134035432,0.7576000097,
1.1154809168,0.7589200094,
1.1099384794,0.7589000088,
1.1087208563,0.7611200112,
1.108146463,0.7597200087,
1.1079473788,0.7593400049,
1.1054871884,0.76128001,
1.1135733727,0.7608800104,
1.0966542938,0.7638400105,
1.1071551523,0.7599400106,
1.0044904503,0.7978400078,
0.9565078712,0.8104200077,
0.9365279299,0.8135600063,
0.9217628831,0.8158800051,
0.9115359667,0.8184200057,
0.8972654894,0.8204000092,
0.8872424963,0.8246000081,
0.8815796769,0.8228400078,
0.868790645,0.8269800067,
0.8642692238,0.8253000107,
0.8598013291,0.8281000057,
0.8507095128,0.8283000076,
0.8449549162,0.8265600073,
0.8390185434,0.8292200091,
0.8316424698,0.8327800122,
0.8289181283,0.831200009,
0.8253107128,0.8312600109,
0.8184500694,0.8351400065,
0.8203295925,0.82922001,
0.8104561883,0.8337000063,
0.8094661704,0.8338800088,
0.8042211121,0.8358600083,
0.8012867358,0.8344800109,
0.7985361588,0.8365400106,
0.801131824,0.8352600136,
0.7926224616,0.8376800093,
0.7882893601,0.8377200082,
0.7890183437,0.8372400078,
0.7880805027,0.8383400035,
0.7842680633,0.8393800068,
0.7825745872,0.8400600037,
0.7817908111,0.8377400079,
0.7863738996,0.8379200077,
0.7744738904,0.8406000099,
0.7732677463,0.8400800064,
0.771726959,0.8428800026,
0.7769844216,0.8386600137,
0.7686769834,0.8391400084,
0.7761732411,0.838360008,
0.7706857958,0.8405400082,
0.7734499738,0.83818001,
0.7645088863,0.8430000091,
0.7676776454,0.8416000092,
0.7656583348,0.8421600071,
0.7675130174,0.8424200132,
0.768558819,0.8389600039,
0.7689643773,0.8392200118,
0.7670145851,0.8410800129,
0.7620600417,0.8421000084,
0.7597444236,0.8441000092,
0.7630001995,0.8426600069,
0.7637151408,0.8427200106,
0.7570256734,0.843960008,
0.7630555627,0.8441400069,
0.7593916389,0.8438800099,
0.760423134,0.8438000065,
0.7614260167,0.8404200053,
0.7599852785,0.8447200117,
0.7598088863,0.8429200101,
0.7572615156,0.8461400089,
0.7558984116,0.8440400052,
0.7574630323,0.8456200007,
0.7556296068,0.8434600088,
0.7586074284,0.846060009,
0.7592533863,0.8429400083,
0.7549230582,0.8457800072,
0.756214008,0.8429400104,
0.7504164073,0.8485000095,
0.7543158734,0.8456800047,
0.7547363338,0.8472800073,
0.7522683555,0.847520009,
0.7586950049,0.8429600114,
0.7523094165,0.847220009,
0.7542706627,0.8460000086,
0.7514519176,0.8464200068,
0.7527805123,0.8476800114,
0.7522911203,0.8462200072,
0.7510369647,0.8457000065,
0.7522917822,0.8476400095,
0.7499314994,0.8502200028,
0.7543217337,0.8443800086,
0.7512103683,0.8469400039,
0.7494612861,0.8477000076,
0.750669387,0.8478600121,
0.7501989034,0.8471800026,
0.7522791642,0.8483200082,
0.7524397844,0.8477400103,
0.7485079613,0.8480400062,
0.7504136881,0.849080008,
0.7498237523,0.8473000091,
0.746280033,0.8516800076,
0.7539403096,0.8461200118,
